filename,steering_angle
Quirec_00000.jpg,0
Quirec_00001.jpg,0
Quirec_00002.jpg,0
Quirec_00003.jpg,0
Quirec_00004.jpg,0
Quirec_00005.jpg,0
Quirec_00006.jpg,0
Quirec_00007.jpg,0
Quirec_00008.jpg,0
Quirec_00009.jpg,0
Quirec_00010.jpg,0
Quirec_00011.jpg,0
Quirec_00012.jpg,0
Quirec_00013.jpg,0
Quirec_00014.jpg,0
Quirec_00015.jpg,0
Quirec_00016.jpg,0
Quirec_00017.jpg,0
Quirec_00018.jpg,0
Quirec_00019.jpg,0
Quirec_00020.jpg,0
Quirec_00021.jpg,0
Quirec_00022.jpg,0
Quirec_00023.jpg,0
Quirec_00024.jpg,0
Quirec_00025.jpg,0
Quirec_00026.jpg,0
Quirec_00027.jpg,0
Quirec_00028.jpg,0
Quirec_00029.jpg,0
Quirec_00030.jpg,0
Quirec_00031.jpg,0
Quirec_00032.jpg,0
Quirec_00033.jpg,0
Quirec_00034.jpg,0
Quirec_00035.jpg,0
Quirec_00036.jpg,0
Quirec_00037.jpg,0
Quirec_00038.jpg,0
Quirec_00039.jpg,0
Quirec_00040.jpg,0
Quirec_00041.jpg,0
Quirec_00042.jpg,0
Quirec_00043.jpg,0
Quirec_00044.jpg,0
Quirec_00045.jpg,0
Quirec_00046.jpg,0
Quirec_00047.jpg,0
Quirec_00048.jpg,0
Quirec_00049.jpg,0
Quirec_00050.jpg,0
Quirec_00051.jpg,0
Quirec_00052.jpg,0
Quirec_00053.jpg,0
Quirec_00054.jpg,0
Quirec_00055.jpg,0
Quirec_00056.jpg,0
Quirec_00057.jpg,0
Quirec_00058.jpg,0
Quirec_00059.jpg,0
Quirec_00060.jpg,0
Quirec_00061.jpg,0
Quirec_00062.jpg,0
Quirec_00063.jpg,0
Quirec_00064.jpg,0
Quirec_00065.jpg,0
Quirec_00066.jpg,0
Quirec_00067.jpg,0
Quirec_00068.jpg,0
Quirec_00069.jpg,0
Quirec_00070.jpg,0
Quirec_00071.jpg,0
Quirec_00072.jpg,0
